,player_id,FIRST_NAME,LAST_NAME,TEAM_ID,HEIGHT,DRAFT_YEAR,FULL_NAME,SEASON
310,960,Tony,Delk,1610612756.0,188.976,1996,Tony Delk,2014
311,101136,Salim,Stoudamire,1610612737.0,185.928,2005,Salim Stoudamire,2014
312,1983,Jermaine,Jackson,1610612761.0,198.12,Undrafted,Jermaine Jackson,2014
313,101188,Eddie,Basden,1610612741.0,198.12,Undrafted,Eddie Basden,2014
314,101185,Rawle,Marshall,1610612754.0,204.216,Undrafted,Rawle Marshall,2014
315,2098,Slava,Medvedenko,1610612747.0,185.928,Undrafted,Slava Medvedenko,2014
317,101180,Sarunas,Jasikevicius,0.0,,Undrafted,Sarunas Jasikevicius,2014
318,101251,Ricky,Shields,0.0,,Undrafted,Ricky Shields,2014
319,1985,Zendon,Hamilton,0.0,186.23280000000003,Undrafted,Zendon Hamilton,2014
320,2077,Mark,Karcher,0.0,,2000,Mark Karcher,2014
321,2591,James,Lang,0.0,185.928,2003,James Lang,2014
322,101156,Robert,Whaley,0.0,185.928,2005,Robert Whaley,2014
323,101258,Corey,Williams,1610612741.0,192.024,1992,Corey Williams,2014
324,101259,Toree,Morris,0.0,,Undrafted,Toree Morris,2014
325,101260,Bryant,Matthews,0.0,,Undrafted,Bryant Matthews,2014
326,101261,Andre,Owens,1610612754.0,195.072,Undrafted,Andre Owens,2014
327,101262,Cory,Violette,0.0,,Undrafted,Cory Violette,2014
330,101119,Rashad,McCants,1610612750.0,195.072,2005,Rashad McCants,2014
331,101152,Bracey,Wright,1610612750.0,192.024,2005,Bracey Wright,2014
333,101224,Deji,Akindele,0.0,,Undrafted,Deji Akindele,2014
335,1520,Charles,Smith,0.0,195.072,1997,Charles Smith,2014
336,2751,Viktor,Khryapa,0.0,,2004,Viktor Khryapa,2014
337,101230,Noel,Felix,1610612760.0,210.312,Undrafted,Noel Felix,2014
338,101213,Sharrod,Ford,0.0,210.312,Undrafted,Sharrod Ford,2014
339,101253,Olu,Famutimi,0.0,,Undrafted,Olu Famutimi,2014
341,1110,Mark,Strickland,0.0,185.928,Undrafted,Mark Strickland,2014
342,101207,Kevin,Burleson,1610612766.0,192.024,Undrafted,Kevin Burleson,2014
343,101212,Esteban,Batista,1610612737.0,185.928,Undrafted,Esteban Batista,2014
345,2256,Ken,Johnson,1610612748.0,185.928,2001,Ken Johnson,2014
346,1844,Fred,Vinson,0.0,195.072,Undrafted,Fred Vinson,2014
347,2750,Pavel,Podkolzin,0.0,228.6,2004,Pavel Podkolzin,2014
348,101117,Yaroslav,Korolev,1610612746.0,210.312,2005,Yaroslav Korolev,2014
349,101137,Daniel,Ewing,1610612746.0,192.024,2005,Daniel Ewing,2014
350,101238,Boniface,Ndong,0.0,213.36,Undrafted,Boniface Ndong,2014
351,101125,Julius,Hodge,0.0,204.216,2005,Julius Hodge,2014
352,101178,Arvydas,Macijauskas,1610612740.0,195.072,Undrafted,Arvydas Macijauskas,2014
356,103,Todd,Day,0.0,,1992,Todd Day,2014
357,2601,Andreas,Glyniadakis,0.0,216.408,2003,Andreas Glyniadakis,2014
358,101165,Alex,Acker,1610612746.0,198.12,2005,Alex Acker,2014
360,101134,Wayne,Simien,1610612748.0,210.312,2005,Wayne Simien,2014
361,101190,Matt,Walsh,0.0,201.16799999999998,Undrafted,Matt Walsh,2014
362,101252,Sean,Banks,0.0,,Undrafted,Sean Banks,2014
363,2251,Eric,Chenowith,0.0,,2001,Eric Chenowith,2014
364,2775,Seung-Jin,Ha,1610612757.0,222.504,2004,Seung-Jin Ha,2014
365,2833,Nigel,Dixon,0.0,,Undrafted,Nigel Dixon,2014
366,2469,Pat,Burke,1610612756.0,186.23280000000003,Undrafted,Pat Burke,2014
367,101159,Dijon,Thompson,0.0,207.264,2005,Dijon Thompson,2014
369,2841,Steven,Barber,0.0,,Undrafted,Steven Barber,2014
370,101239,Otis,George,0.0,,Undrafted,Otis George,2014
371,101147,Chris,Taft,1610612744.0,185.928,2005,Chris Taft,2014
372,101195,Luke,Schenscher,1610612741.0,216.408,Undrafted,Luke Schenscher,2014
376,101219,Anthony,Grundy,1610612737.0,192.024,Undrafted,Anthony Grundy,2014
377,2752,Sergei,Monia,0.0,207.264,2004,Sergei Monia,2014
384,2758,David,Harrison,1610612754.0,213.36,2004,David Harrison,2014
386,200816,Jorge,Garbajosa,0.0,210.312,Undrafted,Jorge Garbajosa,2014
387,200517,Joe,Shipp,0.0,,Undrafted,Joe Shipp,2014
388,200788,James,Augustine,1610612753.0,185.928,2006,James Augustine,2014
389,200835,Walter,Herrmann,1610612765.0,210.312,Undrafted,Walter Herrmann,2014
390,200849,Jackie,Manuel,0.0,,Undrafted,Jackie Manuel,2014
391,200810,Allan,Ray,0.0,,Undrafted,Allan Ray,2014
392,200819,Kevin,Pittsnogle,0.0,,Undrafted,Kevin Pittsnogle,2014
393,200836,Akin,Akingbala,0.0,,Undrafted,Akin Akingbala,2014
394,200759,Cedric,Simmons,1610612740.0,210.312,2006,Cedric Simmons,2014
395,200827,Darius,Washington,0.0,188.976,Undrafted,Darius Washington,2014
396,200862,Scooter,McFadgon,0.0,,Undrafted,Scooter McFadgon,2014
397,200805,JR,Pinnock,0.0,,2006,JR Pinnock,2014
398,200856,Brian,Chase,0.0,,Undrafted,Brian Chase,2014
399,2779,Vassilis,Spanoulis,1610612745.0,195.072,2004,Vassilis Spanoulis,2014
400,200825,Matt,Haryasz,0.0,,Undrafted,Matt Haryasz,2014
401,200823,Robert,Hite,0.0,188.976,Undrafted,Robert Hite,2014
403,2398,Jay,Williams,1610612741.0,188.976,2002,Jay Williams,2014
404,101148,Mile,Ilic,1610612751.0,216.408,2005,Mile Ilic,2014
405,200801,Hassan,Adams,0.0,195.072,2006,Hassan Adams,2014
406,200841,Cedric,Bozeman,0.0,201.16799999999998,Undrafted,Cedric Bozeman,2014
407,2696,Lynn,Greer,1610612749.0,188.976,Undrafted,Lynn Greer,2014
408,200786,David,Noel,1610612749.0,201.16799999999998,2006,David Noel,2014
409,200806,Damir,Markota,1610612749.0,185.928,2006,Damir Markota,2014
410,200840,Chris,McCray,0.0,198.12,Undrafted,Chris McCray,2014
412,200754,Mouhamed,Sene,1610612760.0,186.23280000000003,2006,Mouhamed Sene,2014
413,200787,Denham,Brown,0.0,,2006,Denham Brown,2014
414,200846,Kenny,Adeleke,0.0,,Undrafted,Kenny Adeleke,2014
415,200837,Mike,Hall,1610612764.0,207.264,Undrafted,Mike Hall,2014
416,200818,Justin,Williams,0.0,185.928,Undrafted,Justin Williams,2014
417,200828,Pat,Carroll,0.0,,Undrafted,Pat Carroll,2014
418,200790,Marcus,Vinicius,0.0,207.264,2006,Marcus Vinicius,2014
420,200857,Elton,Brown,0.0,,Undrafted,Elton Brown,2014
422,200859,Paul,Miller,0.0,,Undrafted,Paul Miller,2014
423,2810,Andre,Brown,0.0,210.312,Undrafted,Andre Brown,2014
424,200784,Bobby,Jones,1610612755.0,204.216,2006,Bobby Jones,2014
425,200829,Ivan,McFarlin,0.0,204.216,Undrafted,Ivan McFarlin,2014
426,200848,Steven,Smith,0.0,210.312,Undrafted,Steven Smith,2014
427,2822,Rich,Melzer,0.0,,Undrafted,Rich Melzer,2014
428,200815,Jamar,Smith,0.0,,Undrafted,Jamar Smith,2014
430,2402,Dajuan,Wagner,0.0,192.024,2002,Dajuan Wagner,2014
432,200844,Davin,White,0.0,,Undrafted,Davin White,2014
434,200812,Daniel,Horton,0.0,,Undrafted,Daniel Horton,2014
435,239,Darrick,Martin,0.0,155.7528,Undrafted,Darrick Martin,2014
436,100686,Michaela,Pavlickova,0.0,,2001,Michaela Pavlickova,2014
437,100729,Michelle,Snow,0.0,,2002,Michelle Snow,2014
438,101166,Uros,Slokar,1610612761.0,185.928,2005,Uros Slokar,2014
439,201172,Gabe,Pruitt,1610612738.0,195.072,2007,Gabe Pruitt,2014
440,201204,Brandon,Wallace,0.0,,Undrafted,Brandon Wallace,2014
442,200798,Cheikh,Samb,0.0,216.408,2006,Cheikh Samb,2014
443,200978,Jeremy,Richardson,1610612737.0,204.216,Undrafted,Jeremy Richardson,2014
444,201197,Sammy,Mejia,0.0,,2007,Sammy Mejia,2014
446,200557,Chet,Mason,0.0,,Undrafted,Chet Mason,2014
449,974,Joseph,Blair,0.0,,1996,Joseph Blair,2014
451,200799,Guillermo,Diaz,0.0,,2006,Guillermo Diaz,2014
452,201240,Brad,Stricker,0.0,,Undrafted,Brad Stricker,2014
453,201001,Andre,Patterson,0.0,,Undrafted,Andre Patterson,2014
454,2646,Kris,Lang,0.0,,Undrafted,Kris Lang,2014
455,201174,Nick,Fazekas,1610612746.0,186.23280000000003,2007,Nick Fazekas,2014
456,201232,Jared,Newson,0.0,,Undrafted,Jared Newson,2014
457,201176,Jermareo,Davidson,1610612766.0,185.928,2007,Jermareo Davidson,2014
458,201226,Kevin,Kruger,0.0,,Undrafted,Kevin Kruger,2014
459,201248,Anthony,Richardson,0.0,,Undrafted,Anthony Richardson,2014
460,2677,Kevin,Lyde,0.0,,Undrafted,Kevin Lyde,2014
461,201192,Taurean,Green,1610612743.0,182.88,2007,Taurean Green,2014
462,201015,Antywane,Robinson,0.0,,Undrafted,Antywane Robinson,2014
463,200583,Brandon,Robinson,0.0,,Undrafted,Brandon Robinson,2014
464,201231,Nik,Caner-Medley,0.0,,Undrafted,Nik Caner-Medley,2014
465,201239,Rashid,Byrd,0.0,,Undrafted,Rashid Byrd,2014
466,201213,Larry,Turner,0.0,,Undrafted,Larry Turner,2014
467,201195,Herbert,Hill,1610612755.0,185.928,2007,Herbert Hill,2014
468,200951,Chris,Ellis,0.0,,Undrafted,Chris Ellis,2014
469,201237,Brent,Petway,0.0,,Undrafted,Brent Petway,2014
470,201249,Jamaal,Tatum,0.0,,Undrafted,Jamaal Tatum,2014
471,2434,Juan Carlos,Navarro,0.0,,2002,Juan Carlos Navarro,2014
472,275,Allan,Houston,0.0,201.16799999999998,1993,Allan Houston,2014
473,201185,Jared,Jordan,0.0,,2007,Jared Jordan,2014
474,201236,Lukasz,Obrzut,0.0,,Undrafted,Lukasz Obrzut,2014
477,201634,DeMarcus,Nelson,1610612744.0,195.072,Undrafted,DeMarcus Nelson,2014
478,200555,TJ,Cummings,0.0,,Undrafted,TJ Cummings,2014
479,2226,Will,Solomon,0.0,185.928,2001,Will Solomon,2014
480,201631,Steven,Hill,0.0,213.36,Undrafted,Steven Hill,2014
483,201636,CJ,Giles,0.0,,Undrafted,CJ Giles,2014
484,200390,Cheyne,Gadson,0.0,,Undrafted,Cheyne Gadson,2014
485,201184,Reyshawn,Terry,0.0,,2007,Reyshawn Terry,2014
486,201642,Taj,McCullough,0.0,,Undrafted,Taj McCullough,2014
487,201650,JaJuan,Smith,0.0,,Undrafted,JaJuan Smith,2014
489,2587,Malick,Badiane,0.0,,2003,Malick Badiane,2014
490,101243,Chris,Alexander,0.0,,Undrafted,Chris Alexander,2014
491,201653,Coleman,Collins,0.0,,Undrafted,Coleman Collins,2014
493,201180,Yue,Sun,1610612747.0,210.312,2007,Yue Sun,2014
494,201641,Curtis,Sumpter,0.0,,Undrafted,Curtis Sumpter,2014
495,200510,Charles,Gaines,0.0,,Undrafted,Charles Gaines,2014
496,201613,Richard,Hendrix,0.0,,2008,Richard Hendrix,2014
498,201657,Gerry,McNamara,0.0,,Undrafted,Gerry McNamara,2014
502,1629216,Gabe,Vincent,1610612748.0,188.976,Undrafted,Gabe Vincent,2014
503,1629007,Jontay,Porter,1610612763.0,186.23280000000003,Undrafted,Jontay Porter,2014
504,1628987,Kevin,Hervey,1610612760.0,210.312,2018,Kevin Hervey,2014
505,1628778,Paul,Watson,0.0,201.16799999999998,Undrafted,Paul Watson,2014
506,1629643,Chuma,Okeke,1610612753.0,207.264,2019,Chuma Okeke,2014
507,1630168,Onyeka,Okongwu,1610612737.0,210.312,2020,Onyeka Okongwu,2014
508,1630175,Cole,Anthony,1610612753.0,192.024,2020,Cole Anthony,2014
509,1630211,Karim,Mane,0.0,192.024,Undrafted,Karim Mane,2014
510,1630219,Skylar,Mays,0.0,195.072,2020,Skylar Mays,2014
511,1630233,Nathan,Knight,1610612750.0,207.264,Undrafted,Nathan Knight,2014
512,1630257,Jon,Teske,0.0,216.408,Undrafted,Jon Teske,2014
513,1629071,LiAngelo,Ball,0.0,,2018,LiAngelo Ball,2014
514,1629619,Myles,Powell,1610612755.0,188.976,Undrafted,Myles Powell,2014
515,1629686,Deividas,Sirvydis,0.0,207.264,2019,Deividas Sirvydis,2014
516,1630165,Killian,Hayes,1610612765.0,198.12,2020,Killian Hayes,2014
517,1630167,Obi,Toppin,1610612752.0,210.312,2020,Obi Toppin,2014
518,1630180,Saddiq,Bey,1610612737.0,204.216,2020,Saddiq Bey,2014
519,1630191,Isaiah,Stewart,1610612765.0,207.264,2020,Isaiah Stewart,2014
520,1630193,Immanuel,Quickley,1610612752.0,188.976,2020,Immanuel Quickley,2014
521,1630237,Anthony,Lamb,1610612744.0,201.16799999999998,Undrafted,Anthony Lamb,2014
522,1630240,Saben,Lee,1610612756.0,188.976,2020,Saben Lee,2014
523,1629653,Devon,Dotson,0.0,185.928,Undrafted,Devon Dotson,2014
524,1630172,Patrick,Williams,1610612741.0,204.216,2020,Patrick Williams,2014
525,1630222,Mason,Jones,1610612747.0,195.072,Undrafted,Mason Jones,2014
526,1630231,Kenyon,Martin Jr.,1610612745.0,204.216,2020,Kenyon Martin Jr.,2014
527,1630243,Trevelin,Queen,0.0,201.16799999999998,Undrafted,Trevelin Queen,2014
528,1630256,Jae'Sean,Tate,1610612745.0,198.12,Undrafted,Jae'Sean Tate,2014
529,1630271,Brodric,Thomas,1610612738.0,198.12,Undrafted,Brodric Thomas,2014
530,1630187,Daniel,Oturu,0.0,207.264,2020,Daniel Oturu,2014
531,1630206,Jay,Scrubb,1610612753.0,198.12,2020,Jay Scrubb,2014
532,1630238,Malik,Fitts,1610612738.0,198.12,Undrafted,Malik Fitts,2014
533,1630259,Jordan,Ford,0.0,,Undrafted,Jordan Ford,2014
534,1629604,CJ,Elleby,1610612757.0,201.16799999999998,2020,CJ Elleby,2014
535,1630169,Tyrese,Haliburton,1610612754.0,198.12,2020,Tyrese Haliburton,2014
536,1630186,Jahmi'us,Ramsey,0.0,192.024,2020,Jahmi'us Ramsey,2014
537,1630218,Robert,Woodard II,1610612759.0,201.16799999999998,2020,Robert Woodard II,2014
538,1629602,Javin,DeLaurier,0.0,185.928,Undrafted,Javin DeLaurier,2014
539,1630163,LaMelo,Ball,1610612766.0,204.216,2020,LaMelo Ball,2014
540,1630176,Vernon,Carey Jr.,1610612762.0,185.928,2020,Vernon Carey Jr.,2014
541,1630201,Malachi,Flynn,1610612761.0,185.928,2020,Malachi Flynn,2014
542,1630203,Grant,Riller,1610612766.0,188.976,2020,Grant Riller,2014
543,1630208,Nick,Richards,1610612766.0,213.36,2020,Nick Richards,2014
544,1630223,Jalen,Harris,0.0,198.12,2020,Jalen Harris,2014
545,1630232,Kahlil,Whitney,0.0,,Undrafted,Kahlil Whitney,2014
546,1630268,Nate,Darling,1610612766.0,201.16799999999998,Undrafted,Nate Darling,2014
547,1630269,Keandre,Cook,0.0,,Undrafted,Keandre Cook,2014
548,1630270,Xavier,Sneed,1610612766.0,198.12,Undrafted,Xavier Sneed,2014
549,1629666,Charles,Matthews,0.0,,Undrafted,Charles Matthews,2014
550,1629760,Matt,Mooney,0.0,188.976,Undrafted,Matt Mooney,2014
551,1630171,Isaac,Okoro,1610612739.0,198.12,2020,Isaac Okoro,2014
552,1630199,Cassius,Stanley,0.0,198.12,2020,Cassius Stanley,2014
553,1630205,Lamar,Stevens,1610612739.0,201.16799999999998,Undrafted,Lamar Stevens,2014
554,1630262,Rayshaun,Hammonds,0.0,,Undrafted,Rayshaun Hammonds,2014
555,1630170,Devin,Vassell,1610612759.0,198.12,2020,Devin Vassell,2014
556,1630177,Theo,Maledon,1610612766.0,198.12,2020,Theo Maledon,2014
557,1630197,Aleksej,Pokusevski,1610612760.0,213.36,2020,Aleksej Pokusevski,2014
558,1630200,Tre,Jones,1610612759.0,185.928,2020,Tre Jones,2014
559,1629603,Mamadi,Diakite,1610612739.0,210.312,Undrafted,Mamadi Diakite,2014
560,1629670,Jordan,Nwora,1610612754.0,210.312,2020,Jordan Nwora,2014
561,1630179,Tyrell,Terry,1610612763.0,188.976,2020,Tyrell Terry,2014
562,1630182,Josh,Green,1610612742.0,204.216,2020,Josh Green,2014
563,1630189,Tyler,Bey,1610612742.0,204.216,2020,Tyler Bey,2014
564,1630207,Nate,Hinton,1610612754.0,198.12,Undrafted,Nate Hinton,2014
565,1630241,Sam,Merrill,1610612739.0,195.072,2020,Sam Merrill,2014
566,1630272,EJ,Montgomery,0.0,,Undrafted,EJ Montgomery,2014
567,1630273,Freddie,Gillespie,0.0,210.312,Undrafted,Freddie Gillespie,2014
568,1629958,Ahmad,Caver,0.0,188.976,2019,Ahmad Caver,2014
569,1630162,Anthony,Edwards,1610612750.0,195.072,2020,Anthony Edwards,2014
570,1630183,Jaden,McDaniels,1610612750.0,210.312,2020,Jaden McDaniels,2014
571,1630204,Ashton,Hagans,0.0,192.024,Undrafted,Ashton Hagans,2014
572,1630214,Xavier,Tillman,1610612763.0,204.216,2020,Xavier Tillman,2014
573,1630217,Desmond,Bane,1610612763.0,198.12,2020,Desmond Bane,2014
574,1630253,Sean,McDermott,1610612763.0,201.16799999999998,Undrafted,Sean McDermott,2014
575,1630261,Jahlil,Tripp,0.0,,Undrafted,Jahlil Tripp,2014
576,1630278,Ade,Murkey,0.0,198.12,Undrafted,Ade Murkey,2014
577,1629700,Kaleb,Wesson,0.0,,Undrafted,Kaleb Wesson,2014
578,1630164,James,Wiseman,1610612765.0,213.36,2020,James Wiseman,2014
579,1630181,R.J.,Hampton,1610612765.0,195.072,2020,R.J. Hampton,2014
580,1630185,Nico,Mannion,1610612744.0,188.976,2020,Nico Mannion,2014
581,1630192,Zeke,Nnaji,1610612743.0,210.312,2020,Zeke Nnaji,2014
582,1630210,Markus,Howard,1610612743.0,155.44799999999998,Undrafted,Markus Howard,2014
583,1630263,Dwayne,Sutton,0.0,,Undrafted,Dwayne Sutton,2014
584,1630267,Facundo,Campazzo,0.0,155.44799999999998,Undrafted,Facundo Campazzo,2014
585,1628962,Udoka,Azubuike,1610612762.0,186.23280000000003,2020,Udoka Azubuike,2014
586,1630188,Jalen,Smith,1610612754.0,210.312,2020,Jalen Smith,2014
587,1630190,Elijah,Hughes,1610612757.0,198.12,2020,Elijah Hughes,2014
588,1630234,Ty-Shon,Alexander,1610612756.0,192.024,Undrafted,Ty-Shon Alexander,2014
589,1630235,Trent,Forrest,1610612737.0,195.072,Undrafted,Trent Forrest,2014
590,1630255,Jake,Toolson,0.0,,Undrafted,Jake Toolson,2014
591,1630265,Romaro,Gill,0.0,,Undrafted,Romaro Gill,2014
592,1629617,Reggie,Perry,0.0,207.264,2020,Reggie Perry,2014
593,1630166,Deni,Avdija,1610612764.0,210.312,2020,Deni Avdija,2014
594,1630213,Yoeli,Childs,0.0,,Undrafted,Yoeli Childs,2014
595,1630216,Cassius,Winston,1610612764.0,185.928,2020,Cassius Winston,2014
596,1630258,Caleb,Homesley,1610612764.0,201.16799999999998,Undrafted,Caleb Homesley,2014
597,1630260,Marlon,Taylor,0.0,,Undrafted,Marlon Taylor,2014
598,1630264,Anthony,Gill,1610612764.0,207.264,Undrafted,Anthony Gill,2014
599,1628974,Tony,Carr,0.0,,2018,Tony Carr,2014
600,1630173,Precious,Achiuwa,1610612761.0,207.264,2020,Precious Achiuwa,2014
601,1630184,Kira,Lewis Jr.,1610612740.0,185.928,2020,Kira Lewis Jr.,2014
602,1630220,Paul,Eboua,0.0,,Undrafted,Paul Eboua,2014
603,1630230,Naji,Marshall,1610612740.0,204.216,Undrafted,Naji Marshall,2014
604,1630254,Breein,Tyree,0.0,,Undrafted,Breein Tyree,2014
605,1630266,Will,Magnay,0.0,185.928,Undrafted,Will Magnay,2014
606,1630174,Aaron,Nesmith,1610612754.0,198.12,2020,Aaron Nesmith,2014
607,1630178,Tyrese,Maxey,1610612755.0,188.976,2020,Tyrese Maxey,2014
608,1630194,Paul,Reed,1610612755.0,210.312,2020,Paul Reed,2014
609,1630198,Isaiah,Joe,1610612760.0,192.024,2020,Isaiah Joe,2014
610,1630202,Payton,Pritchard,1610612738.0,185.928,2020,Payton Pritchard,2014
611,1630221,Josh,Hall,1610612760.0,210.312,Undrafted,Josh Hall,2014
612,1629681,Killian,Tillie,1610612763.0,210.312,Undrafted,Killian Tillie,2014
613,1629783,Shaq,Buchanan,0.0,192.024,Undrafted,Shaq Buchanan,2014
614,1630286,Trevon,Scott,0.0,207.264,Undrafted,Trevon Scott,2014
615,1629596,Bryce,Brown,0.0,,2019,Bryce Brown,2014
616,1630549,Day'Ron,Sharpe,1610612751.0,210.312,2021,Day'Ron Sharpe,2014
617,1630555,Joel,Ayayi,0.0,195.072,Undrafted,Joel Ayayi,2014
618,1630556,Kessler,Edwards,1610612758.0,204.216,2021,Kessler Edwards,2014
619,1630559,Austin,Reaves,1610612747.0,198.12,Undrafted,Austin Reaves,2014
620,1630560,Cam,Thomas,1610612751.0,192.024,2021,Cam Thomas,2014
621,1630561,David,Duke Jr.,1610612751.0,195.072,Undrafted,David Duke Jr.,2014
622,1630602,Chaundee,Brown Jr.,1610612737.0,198.12,Undrafted,Chaundee Brown Jr.,2014
623,1630644,Mac,McClung,1610612755.0,188.976,Undrafted,Mac McClung,2014
624,1629646,Charles,Bassey,1610612759.0,210.312,2021,Charles Bassey,2014
625,1630525,David,Johnson,1610612761.0,195.072,2021,David Johnson,2014
626,1630531,Jaden,Springer,1610612755.0,195.072,2021,Jaden Springer,2014
627,1630551,Justin,Champagnie,1610612738.0,201.16799999999998,Undrafted,Justin Champagnie,2014
628,1630565,Aaron,Henry,0.0,198.12,Undrafted,Aaron Henry,2014
629,1630567,Scottie,Barnes,1610612761.0,207.264,2021,Scottie Barnes,2014
630,1630625,Dalano,Banton,1610612761.0,204.216,2021,Dalano Banton,2014
631,1630688,Ish,Wainright,1610612756.0,198.12,Undrafted,Ish Wainright,2014
632,1630288,Jeff,Dowtin Jr.,1610612761.0,192.024,Undrafted,Jeff Dowtin Jr.,2014
633,1630532,Franz,Wagner,1610612753.0,185.928,2021,Franz Wagner,2014
634,1630573,Sam,Hauser,1610612738.0,204.216,Undrafted,Sam Hauser,2014
635,1630591,Jalen,Suggs,1610612753.0,198.12,2021,Jalen Suggs,2014
636,1630209,Omer,Yurtseven,1610612748.0,186.23280000000003,Undrafted,Omer Yurtseven,2014
637,1630536,Sharife,Cooper,1610612737.0,185.928,2021,Sharife Cooper,2014
638,1630552,Jalen,Johnson,1610612737.0,207.264,2021,Jalen Johnson,2014
639,1630585,Marcus,Garrett,0.0,198.12,Undrafted,Marcus Garrett,2014
640,1630597,DJ,Stewart,1610612759.0,198.12,Undrafted,DJ Stewart,2014
641,1630606,Javonte,Smart,1610612748.0,195.072,Undrafted,Javonte Smart,2014
642,1630639,A.J.,Lawson,1610612742.0,201.16799999999998,Undrafted,A.J. Lawson,2014
